customer_id,kmeans_cluster,segment
262,3,At-risk
263,4,New
264,1,High-value
265,4,New
266,2,Occasional
267,1,High-value
268,1,High-value
269,3,At-risk
270,1,High-value
271,1,High-value
272,1,High-value
273,3,At-risk
274,1,High-value
275,2,Occasional
276,1,High-value
277,2,Occasional
278,4,New
279,5,Low-engagement
280,2,Occasional
281,1,High-value
282,1,High-value
283,3,At-risk
284,1,High-value
285,5,Low-engagement
286,2,Occasional
287,3,At-risk
288,1,High-value
289,4,New
290,4,New
291,4,New
292,5,Low-engagement
293,4,New
294,5,Low-engagement
295,5,Low-engagement
296,4,New
297,1,High-value
298,4,New
299,2,Occasional
300,5,Low-engagement
301,4,New
302,3,At-risk
303,4,New
304,5,Low-engagement
305,4,New
306,5,Low-engagement
307,1,High-value
308,5,Low-engagement
309,4,New
310,1,High-value
311,1,High-value
312,3,At-risk
313,2,Occasional
314,2,Occasional
315,2,Occasional
316,1,High-value
317,4,New
318,3,At-risk
319,3,At-risk
320,5,Low-engagement
321,1,High-value
322,5,Low-engagement
323,3,At-risk
324,2,Occasional
325,5,Low-engagement
326,3,At-risk
327,4,New
328,2,Occasional
329,4,New
330,3,At-risk
331,1,High-value
332,1,High-value
333,4,New
334,2,Occasional
335,2,Occasional
336,5,Low-engagement
337,1,High-value
338,5,Low-engagement
339,4,New
340,3,At-risk
341,4,New
342,5,Low-engagement
343,3,At-risk
344,5,Low-engagement
345,3,At-risk
346,4,New
347,2,Occasional
348,5,Low-engagement
349,2,Occasional
350,2,Occasional
351,2,Occasional
352,5,Low-engagement
353,1,High-value
354,5,Low-engagement
355,2,Occasional
356,5,Low-engagement
357,3,At-risk
358,4,New
359,2,Occasional
360,4,New
361,2,Occasional
362,4,New
363,5,Low-engagement
364,3,At-risk
365,5,Low-engagement
366,4,New
367,1,High-value
368,2,Occasional
369,4,New
370,4,New
371,3,At-risk
372,3,At-risk
373,3,At-risk
374,3,At-risk
375,4,New
376,4,New
377,3,At-risk
378,4,New
379,4,New
380,3,At-risk
381,5,Low-engagement
382,2,Occasional
383,4,New
384,2,Occasional
385,4,New
386,3,At-risk
387,4,New
388,5,Low-engagement
389,4,New
390,5,Low-engagement
391,1,High-value
392,4,New
393,1,High-value
394,2,Occasional
395,5,Low-engagement
396,4,New
397,3,At-risk
398,2,Occasional
399,4,New
400,3,At-risk
401,3,At-risk
402,5,Low-engagement
403,3,At-risk
404,3,At-risk
405,3,At-risk
406,5,Low-engagement
407,5,Low-engagement
408,3,At-risk
409,1,High-value
410,2,Occasional
411,5,Low-engagement
412,3,At-risk
413,3,At-risk
414,2,Occasional
415,1,High-value
416,3,At-risk
417,4,New
418,5,Low-engagement
419,3,At-risk
420,2,Occasional
421,4,New
422,1,High-value
423,1,High-value
424,5,Low-engagement
425,5,Low-engagement
426,1,High-value
427,5,Low-engagement
428,4,New
429,1,High-value
430,1,High-value
431,4,New
432,2,Occasional
433,1,High-value
434,3,At-risk
435,4,New
436,4,New
437,2,Occasional
438,3,At-risk
439,2,Occasional
440,4,New
441,3,At-risk
442,2,Occasional
443,5,Low-engagement
444,2,Occasional
445,5,Low-engagement
446,2,Occasional
447,3,At-risk
448,2,Occasional
449,5,Low-engagement
450,5,Low-engagement
451,5,Low-engagement
452,3,At-risk
453,5,Low-engagement
454,2,Occasional
455,5,Low-engagement
456,1,High-value
457,1,High-value
458,4,New
459,1,High-value
460,2,Occasional
461,5,Low-engagement
462,2,Occasional
463,1,High-value
464,1,High-value
465,1,High-value
466,2,Occasional
467,5,Low-engagement
468,4,New
469,5,Low-engagement
470,2,Occasional
471,5,Low-engagement
472,4,New
473,5,Low-engagement
474,5,Low-engagement
475,2,Occasional
476,4,New
477,5,Low-engagement
478,4,New
479,1,High-value
480,4,New
481,3,At-risk
482,2,Occasional
483,4,New
484,4,New
485,3,At-risk
486,1,High-value
487,2,Occasional
488,3,At-risk
489,5,Low-engagement
490,5,Low-engagement
491,2,Occasional
492,5,Low-engagement
493,1,High-value
494,4,New
495,3,At-risk
496,3,At-risk
497,2,Occasional
498,5,Low-engagement
499,4,New
500,4,New
501,5,Low-engagement
502,5,Low-engagement
503,4,New
504,5,Low-engagement
505,2,Occasional
506,3,At-risk
507,5,Low-engagement
508,1,High-value
509,3,At-risk
510,1,High-value
511,3,At-risk
512,5,Low-engagement
513,5,Low-engagement
514,5,Low-engagement
515,4,New
516,3,At-risk
517,1,High-value
518,5,Low-engagement
519,2,Occasional
520,1,High-value
521,4,New
522,5,Low-engagement
523,5,Low-engagement
524,3,At-risk
525,2,Occasional
526,1,High-value
527,4,New
528,3,At-risk
529,1,High-value
530,4,New
531,2,Occasional
532,4,New
533,4,New
534,2,Occasional
535,5,Low-engagement
536,2,Occasional
537,3,At-risk
538,5,Low-engagement
539,5,Low-engagement
540,5,Low-engagement
541,1,High-value
542,4,New
543,4,New
544,4,New
545,4,New
546,4,New
547,5,Low-engagement
548,4,New
549,1,High-value
550,2,Occasional
551,3,At-risk
552,2,Occasional
553,1,High-value
554,4,New
555,3,At-risk
556,3,At-risk
557,2,Occasional
558,4,New
559,3,At-risk
560,2,Occasional
561,5,Low-engagement
562,4,New
563,1,High-value
564,4,New
565,4,New
566,3,At-risk
567,1,High-value
568,2,Occasional
569,3,At-risk
570,5,Low-engagement
571,2,Occasional
572,1,High-value
573,3,At-risk
574,4,New
575,5,Low-engagement
576,1,High-value
577,1,High-value
578,3,At-risk
579,4,New
580,3,At-risk
581,3,At-risk
582,2,Occasional
583,2,Occasional
584,2,Occasional
585,1,High-value
586,3,At-risk
587,4,New
588,2,Occasional
589,1,High-value
590,2,Occasional
591,3,At-risk
592,1,High-value
593,2,Occasional
594,4,New
595,2,Occasional
596,4,New
597,3,At-risk
598,3,At-risk
599,4,New
600,1,High-value
601,1,High-value
602,1,High-value
603,3,At-risk
604,1,High-value
605,5,Low-engagement
606,5,Low-engagement
607,3,At-risk
608,5,Low-engagement
609,2,Occasional
610,4,New
611,3,At-risk
612,5,Low-engagement
613,3,At-risk
614,2,Occasional
615,1,High-value
616,4,New
617,2,Occasional
618,2,Occasional
619,3,At-risk
620,3,At-risk
621,5,Low-engagement
622,3,At-risk
623,4,New
624,5,Low-engagement
625,1,High-value
626,5,Low-engagement
627,4,New
628,1,High-value
629,5,Low-engagement
630,1,High-value
631,3,At-risk
632,3,At-risk
633,1,High-value
634,1,High-value
635,2,Occasional
636,4,New
637,3,At-risk
638,2,Occasional
639,2,Occasional
640,4,New
641,1,High-value
642,5,Low-engagement
643,5,Low-engagement
644,1,High-value
645,3,At-risk
646,3,At-risk
647,3,At-risk
648,2,Occasional
649,1,High-value
650,4,New
651,3,At-risk
652,5,Low-engagement
653,1,High-value
654,1,High-value
655,4,New
656,4,New
657,4,New
658,3,At-risk
659,3,At-risk
660,3,At-risk
661,4,New
662,4,New
663,5,Low-engagement
664,3,At-risk
665,4,New
666,2,Occasional
667,3,At-risk
668,5,Low-engagement
669,3,At-risk
670,4,New
671,3,At-risk
672,4,New
673,2,Occasional
674,5,Low-engagement
675,1,High-value
676,5,Low-engagement
677,3,At-risk
678,1,High-value
679,2,Occasional
680,3,At-risk
681,2,Occasional
682,1,High-value
683,5,Low-engagement
684,1,High-value
685,5,Low-engagement
686,2,Occasional
687,2,Occasional
688,1,High-value
689,3,At-risk
690,5,Low-engagement
691,5,Low-engagement
692,1,High-value
693,1,High-value
694,5,Low-engagement
695,3,At-risk
696,1,High-value
697,3,At-risk
698,3,At-risk
699,3,At-risk
700,3,At-risk
701,5,Low-engagement
702,1,High-value
703,5,Low-engagement
704,1,High-value
705,5,Low-engagement
706,1,High-value
707,3,At-risk
708,1,High-value
709,1,High-value
710,4,New
711,3,At-risk
712,3,At-risk
713,5,Low-engagement
714,1,High-value
715,4,New
716,1,High-value
717,1,High-value
718,5,Low-engagement
719,3,At-risk
720,4,New
721,3,At-risk
722,1,High-value
723,1,High-value
724,5,Low-engagement
725,2,Occasional
726,2,Occasional
727,3,At-risk
728,3,At-risk
729,5,Low-engagement
730,5,Low-engagement
731,4,New
732,1,High-value
733,1,High-value
734,3,At-risk
735,4,New
736,1,High-value
737,1,High-value
738,3,At-risk
739,5,Low-engagement
740,3,At-risk
741,4,New
742,5,Low-engagement
743,2,Occasional
744,2,Occasional
745,2,Occasional
746,3,At-risk
747,1,High-value
748,1,High-value
749,1,High-value
750,1,High-value
751,2,Occasional
752,1,High-value
753,4,New
754,3,At-risk
755,5,Low-engagement
756,4,New
757,4,New
758,2,Occasional
759,5,Low-engagement
760,2,Occasional
761,2,Occasional
762,2,Occasional
763,3,At-risk
764,1,High-value
765,4,New
766,4,New
767,1,High-value
768,3,At-risk
769,2,Occasional
770,4,New
771,1,High-value
772,1,High-value
773,5,Low-engagement
774,2,Occasional
775,2,Occasional
776,2,Occasional
777,3,At-risk
778,3,At-risk
779,1,High-value
780,3,At-risk
781,3,At-risk
782,1,High-value
783,5,Low-engagement
784,1,High-value
785,2,Occasional
786,4,New
787,5,Low-engagement
788,3,At-risk
789,5,Low-engagement
790,3,At-risk
791,5,Low-engagement
792,2,Occasional
793,1,High-value
794,1,High-value
795,1,High-value
796,1,High-value
797,1,High-value
798,5,Low-engagement
799,1,High-value
800,4,New
801,2,Occasional
802,1,High-value
803,2,Occasional
804,3,At-risk
805,1,High-value
806,5,Low-engagement
807,5,Low-engagement
808,5,Low-engagement
809,1,High-value
810,2,Occasional
811,1,High-value
812,4,New
813,2,Occasional
814,2,Occasional
815,2,Occasional
816,2,Occasional
817,3,At-risk
818,1,High-value
819,2,Occasional
820,1,High-value
821,4,New
822,1,High-value
823,5,Low-engagement
824,1,High-value
825,3,At-risk
826,2,Occasional
827,3,At-risk
828,1,High-value
829,4,New
830,5,Low-engagement
831,2,Occasional
832,2,Occasional
833,5,Low-engagement
834,5,Low-engagement
835,2,Occasional
836,1,High-value
837,2,Occasional
838,1,High-value
839,3,At-risk
840,2,Occasional
841,4,New
842,5,Low-engagement
843,5,Low-engagement
844,3,At-risk
845,1,High-value
846,5,Low-engagement
847,5,Low-engagement
848,4,New
849,2,Occasional
850,4,New
851,5,Low-engagement
852,5,Low-engagement
853,5,Low-engagement
854,1,High-value
855,3,At-risk
856,4,New
857,1,High-value
858,1,High-value
859,3,At-risk
860,3,At-risk
861,1,High-value
862,1,High-value
863,4,New
864,5,Low-engagement
865,1,High-value
866,2,Occasional
867,2,Occasional
868,3,At-risk
869,4,New
870,3,At-risk
871,5,Low-engagement
872,1,High-value
873,2,Occasional
874,3,At-risk
875,3,At-risk
876,2,Occasional
877,1,High-value
878,3,At-risk
879,3,At-risk
880,2,Occasional
881,3,At-risk
882,1,High-value
883,2,Occasional
884,4,New
885,5,Low-engagement
886,1,High-value
887,4,New
888,2,Occasional
889,4,New
890,5,Low-engagement
891,2,Occasional
892,1,High-value
893,4,New
894,4,New
895,2,Occasional
896,1,High-value
897,2,Occasional
898,2,Occasional
899,4,New
900,2,Occasional
901,4,New
902,4,New
903,4,New
904,1,High-value
905,2,Occasional
906,1,High-value
907,3,At-risk
908,4,New
909,3,At-risk
910,4,New
911,5,Low-engagement
912,2,Occasional
913,2,Occasional
914,2,Occasional
915,3,At-risk
916,5,Low-engagement
917,2,Occasional
918,1,High-value
919,4,New
920,4,New
921,1,High-value
922,4,New
923,2,Occasional
924,2,Occasional
925,2,Occasional
926,2,Occasional
927,3,At-risk
928,1,High-value
929,5,Low-engagement
930,3,At-risk
931,4,New
932,2,Occasional
933,3,At-risk
934,1,High-value
935,1,High-value
936,3,At-risk
937,4,New
938,4,New
939,4,New
940,5,Low-engagement
941,4,New
942,1,High-value
943,4,New
944,2,Occasional
945,1,High-value
946,4,New
947,3,At-risk
948,4,New
949,4,New
950,4,New
951,5,Low-engagement
952,1,High-value
953,1,High-value
954,2,Occasional
955,2,Occasional
956,3,At-risk
957,3,At-risk
958,2,Occasional
959,4,New
960,3,At-risk
961,3,At-risk
962,5,Low-engagement
963,1,High-value
964,3,At-risk
965,1,High-value
966,2,Occasional
967,1,High-value
968,4,New
969,1,High-value
970,4,New
971,1,High-value
972,2,Occasional
973,4,New
974,1,High-value
975,3,At-risk
976,4,New
977,3,At-risk
978,1,High-value
979,4,New
980,3,At-risk
981,4,New
982,5,Low-engagement
983,3,At-risk
984,1,High-value
985,3,At-risk
986,2,Occasional
987,1,High-value
988,5,Low-engagement
989,5,Low-engagement
990,3,At-risk
991,5,Low-engagement
992,1,High-value
993,2,Occasional
994,3,At-risk
995,5,Low-engagement
996,5,Low-engagement
997,3,At-risk
998,4,New
999,5,Low-engagement
1000,1,High-value
1001,3,At-risk
1002,2,Occasional
1003,1,High-value
1004,2,Occasional
1005,4,New
1006,3,At-risk
1007,5,Low-engagement
1008,4,New
1009,3,At-risk
1010,2,Occasional
1011,5,Low-engagement
1012,3,At-risk
1013,4,New
1014,1,High-value
1015,3,At-risk
1016,4,New
1017,1,High-value
1018,2,Occasional
1019,5,Low-engagement
1020,2,Occasional
1021,1,High-value
1022,5,Low-engagement
1023,5,Low-engagement
1024,5,Low-engagement
1025,2,Occasional
1026,4,New
1027,4,New
1028,4,New
1029,2,Occasional
1030,2,Occasional
1031,5,Low-engagement
1032,4,New
1033,2,Occasional
1034,3,At-risk
1035,5,Low-engagement
1036,1,High-value
1037,1,High-value
1038,4,New
1039,1,High-value
1040,3,At-risk
1041,2,Occasional
1042,4,New
1043,5,Low-engagement
1044,3,At-risk
1045,1,High-value
1046,4,New
1047,1,High-value
1048,4,New
1049,1,High-value
1050,1,High-value
1051,4,New
1052,4,New
1053,5,Low-engagement
1054,1,High-value
1055,2,Occasional
1056,4,New
1057,5,Low-engagement
1058,5,Low-engagement
1059,3,At-risk
1060,1,High-value
1061,4,New
1062,5,Low-engagement
1063,2,Occasional
1064,3,At-risk
1065,2,Occasional
1066,3,At-risk
1067,2,Occasional
1068,2,Occasional
1069,2,Occasional
1070,5,Low-engagement
1071,1,High-value
1072,5,Low-engagement
1073,5,Low-engagement
1074,5,Low-engagement
1075,3,At-risk
1076,2,Occasional
1077,5,Low-engagement
1078,2,Occasional
1079,3,At-risk
1080,2,Occasional
1081,1,High-value
1082,1,High-value
1083,3,At-risk
1084,2,Occasional
1085,2,Occasional
1086,1,High-value
1087,5,Low-engagement
1088,3,At-risk
1089,5,Low-engagement
1090,4,New
1091,5,Low-engagement
1092,2,Occasional
1093,3,At-risk
1094,1,High-value
1095,1,High-value
1096,4,New
1097,4,New
1098,4,New
1099,2,Occasional
1100,2,Occasional
1101,1,High-value
1102,5,Low-engagement
1103,1,High-value
1104,1,High-value
1105,1,High-value
1106,2,Occasional
1107,3,At-risk
1108,4,New
1109,2,Occasional
1110,4,New
1111,1,High-value
1112,3,At-risk
1113,5,Low-engagement
1114,3,At-risk
1115,1,High-value
1116,3,At-risk
1117,4,New
1118,3,At-risk
1119,4,New
1120,2,Occasional
1121,1,High-value
1122,1,High-value
1123,4,New
1124,4,New
1125,4,New
1126,2,Occasional
1127,1,High-value
1128,5,Low-engagement
1129,4,New
1130,4,New
1131,2,Occasional
1132,2,Occasional
1133,5,Low-engagement
1134,4,New
1135,4,New
1136,4,New
1137,5,Low-engagement
1138,5,Low-engagement
1139,2,Occasional
1140,4,New
1141,2,Occasional
1142,5,Low-engagement
1143,1,High-value
1144,3,At-risk
1145,4,New
1146,2,Occasional
1147,2,Occasional
1148,4,New
1149,3,At-risk
1150,4,New
1151,4,New
1152,2,Occasional
1153,3,At-risk
1154,4,New
1155,3,At-risk
1156,4,New
1157,5,Low-engagement
1158,3,At-risk
1159,3,At-risk
1160,4,New
1161,2,Occasional
1162,3,At-risk
1163,5,Low-engagement
1164,5,Low-engagement
1165,4,New
1166,2,Occasional
1167,3,At-risk
1168,4,New
1169,4,New
1170,3,At-risk
1171,5,Low-engagement
1172,5,Low-engagement
1173,5,Low-engagement
1174,2,Occasional
1175,4,New
1176,3,At-risk
1177,5,Low-engagement
1178,1,High-value
1179,1,High-value
1180,2,Occasional
1181,3,At-risk
1182,5,Low-engagement
1183,1,High-value
1184,2,Occasional
1185,2,Occasional
1186,5,Low-engagement
1187,4,New
1188,3,At-risk
1189,1,High-value
1190,3,At-risk
1191,4,New
1192,2,Occasional
1193,5,Low-engagement
1194,3,At-risk
1195,5,Low-engagement
1196,2,Occasional
1197,3,At-risk
1198,3,At-risk
1199,3,At-risk
1200,4,New
1201,4,New
1202,4,New
1203,4,New
1204,2,Occasional
1205,2,Occasional
1206,3,At-risk
1207,5,Low-engagement
1208,3,At-risk
1209,1,High-value
1210,3,At-risk
1211,4,New
1212,5,Low-engagement
1213,4,New
1214,3,At-risk
1215,4,New
1216,2,Occasional
1217,4,New
1218,5,Low-engagement
1219,1,High-value
1220,5,Low-engagement
1221,4,New
1222,5,Low-engagement
1223,1,High-value
1224,5,Low-engagement
1225,5,Low-engagement
1226,2,Occasional
1227,5,Low-engagement
1228,2,Occasional
1229,5,Low-engagement
1230,5,Low-engagement
1231,5,Low-engagement
1232,3,At-risk
1233,2,Occasional
1234,2,Occasional
1235,4,New
1236,4,New
1237,2,Occasional
1238,4,New
1239,2,Occasional
1240,2,Occasional
1241,2,Occasional
1242,2,Occasional
1243,1,High-value
1244,4,New
1245,4,New
1246,4,New
1247,2,Occasional
1248,5,Low-engagement
1249,3,At-risk
1250,3,At-risk
1251,3,At-risk
1252,3,At-risk
1253,4,New
1254,2,Occasional
1255,5,Low-engagement
1256,1,High-value
1257,1,High-value
1258,4,New
1259,5,Low-engagement
1260,3,At-risk
1261,3,At-risk
1262,2,Occasional
1263,5,Low-engagement
1264,2,Occasional
1265,4,New
1266,4,New
1267,1,High-value
1268,1,High-value
1269,5,Low-engagement
1270,2,Occasional
1271,5,Low-engagement
1272,2,Occasional
1273,1,High-value
1274,2,Occasional
1275,3,At-risk
1276,2,Occasional
1277,1,High-value
1278,4,New
1279,5,Low-engagement
1280,1,High-value
1281,1,High-value
1282,3,At-risk
1283,2,Occasional
1284,2,Occasional
1285,5,Low-engagement
1286,4,New
1287,2,Occasional
1288,4,New
1289,2,Occasional
1290,4,New
1291,2,Occasional
1292,4,New
1293,2,Occasional
1294,1,High-value
1295,4,New
1296,1,High-value
1297,5,Low-engagement
1298,1,High-value
1299,2,Occasional
1300,1,High-value
1301,5,Low-engagement
1302,3,At-risk
1303,2,Occasional
1304,3,At-risk
1305,5,Low-engagement
1306,2,Occasional
1307,1,High-value
1308,2,Occasional
1309,2,Occasional
1310,3,At-risk
1311,1,High-value
1312,1,High-value
1313,4,New
1314,4,New
1315,4,New
1316,4,New
1317,5,Low-engagement
1318,3,At-risk
1319,4,New
1320,1,High-value
1321,3,At-risk
1322,1,High-value
1323,1,High-value
1324,4,New
1325,3,At-risk
1326,5,Low-engagement
1327,5,Low-engagement
1328,5,Low-engagement
1329,5,Low-engagement
1330,2,Occasional
1331,3,At-risk
1332,1,High-value
1333,2,Occasional
1334,4,New
1335,2,Occasional
1336,3,At-risk
1337,1,High-value
1338,2,Occasional
1339,1,High-value
1340,5,Low-engagement
1341,3,At-risk
1342,1,High-value
1343,5,Low-engagement
1344,4,New
1345,1,High-value
1346,3,At-risk
1347,5,Low-engagement
1348,1,High-value
1349,2,Occasional
1350,3,At-risk
1351,5,Low-engagement
1352,3,At-risk
1353,2,Occasional
1354,4,New
1355,3,At-risk
1356,5,Low-engagement
1357,1,High-value
1358,4,New
1359,2,Occasional
1360,4,New
1361,5,Low-engagement
1362,3,At-risk
1363,2,Occasional
1364,2,Occasional
1365,3,At-risk
1366,1,High-value
1367,1,High-value
1368,3,At-risk
1369,4,New
1370,2,Occasional
1371,2,Occasional
1372,1,High-value
1373,2,Occasional
1374,2,Occasional
1375,5,Low-engagement
1376,3,At-risk
1377,3,At-risk
1378,4,New
1379,1,High-value
1380,3,At-risk
1381,2,Occasional
1382,4,New
1383,5,Low-engagement
1384,4,New
1385,5,Low-engagement
1386,1,High-value
1387,5,Low-engagement
1388,5,Low-engagement
1389,5,Low-engagement
1390,2,Occasional
1391,1,High-value
1392,4,New
1393,3,At-risk
1394,3,At-risk
1395,1,High-value
1396,3,At-risk
1397,2,Occasional
1398,1,High-value
1399,4,New
1400,2,Occasional
1401,1,High-value
1402,4,New
1403,2,Occasional
1404,1,High-value
1405,4,New
1406,3,At-risk
1407,5,Low-engagement
1408,5,Low-engagement
1409,5,Low-engagement
1410,5,Low-engagement
1411,4,New
1412,5,Low-engagement
1413,5,Low-engagement
1414,3,At-risk
1415,2,Occasional
1416,1,High-value
1417,1,High-value
1418,5,Low-engagement
1419,3,At-risk
1420,5,Low-engagement
1421,1,High-value
1422,5,Low-engagement
1423,4,New
1424,1,High-value
1425,2,Occasional
1426,5,Low-engagement
1427,2,Occasional
1428,3,At-risk
1429,3,At-risk
1430,4,New
1431,1,High-value
1432,1,High-value
1433,5,Low-engagement
1434,3,At-risk
1435,5,Low-engagement
1436,2,Occasional
1437,3,At-risk
1438,3,At-risk
1439,5,Low-engagement
1440,2,Occasional
1441,4,New
1442,1,High-value
1443,3,At-risk
1444,2,Occasional
1445,2,Occasional
1446,1,High-value
1447,1,High-value
1448,1,High-value
1449,3,At-risk
1450,4,New
1451,5,Low-engagement
1452,3,At-risk
1453,3,At-risk
1454,2,Occasional
1455,2,Occasional
1456,2,Occasional
1457,1,High-value
1458,2,Occasional
1459,1,High-value
1460,1,High-value
1461,4,New
1462,2,Occasional
1463,2,Occasional
1464,3,At-risk
1465,5,Low-engagement
1466,1,High-value
1467,4,New
1468,3,At-risk
1469,4,New
1470,4,New
1471,1,High-value
1472,5,Low-engagement
1473,4,New
1474,5,Low-engagement
1475,4,New
1476,3,At-risk
1477,5,Low-engagement
1478,5,Low-engagement
1479,1,High-value
1480,3,At-risk
1481,1,High-value
1482,4,New
1483,5,Low-engagement
1484,4,New
1485,1,High-value
1486,3,At-risk
1487,5,Low-engagement
1488,5,Low-engagement
1489,5,Low-engagement
1490,2,Occasional
1491,3,At-risk
1492,3,At-risk
1493,3,At-risk
1494,1,High-value
1495,4,New
1496,1,High-value
1497,2,Occasional
1498,2,Occasional
1499,5,Low-engagement
1500,1,High-value
1501,1,High-value
1502,4,New
1503,3,At-risk
1504,1,High-value
1505,2,Occasional
1506,1,High-value
1507,3,At-risk
1508,3,At-risk
1509,4,New
1510,5,Low-engagement
1511,3,At-risk
1512,4,New
1513,2,Occasional
1514,3,At-risk
1515,3,At-risk
1516,1,High-value
1517,3,At-risk
1518,5,Low-engagement
1519,4,New
1520,3,At-risk
1521,2,Occasional
1522,5,Low-engagement
1523,2,Occasional
1524,5,Low-engagement
1525,1,High-value
1526,5,Low-engagement
1527,2,Occasional
1528,2,Occasional
1529,5,Low-engagement
1530,5,Low-engagement
1531,2,Occasional
1532,2,Occasional
1533,1,High-value
1534,4,New
1535,3,At-risk
1536,4,New
1537,3,At-risk
1538,3,At-risk
1539,5,Low-engagement
1540,1,High-value
1541,4,New
1542,4,New
1543,2,Occasional
1544,2,Occasional
1545,5,Low-engagement
1546,5,Low-engagement
1547,3,At-risk
1548,4,New
1549,2,Occasional
1550,5,Low-engagement
1551,5,Low-engagement
1552,5,Low-engagement
1553,5,Low-engagement
1554,3,At-risk
1555,1,High-value
1556,3,At-risk
1557,1,High-value
1558,3,At-risk
1559,4,New
1560,5,Low-engagement
1561,3,At-risk
1562,3,At-risk
1563,3,At-risk
1564,5,Low-engagement
