order_id,customer_id,product_id,quantity,amount,order_date,channel,region
100,329,575,3,4769.42,2022-11-25,In-store,South
101,9686,280,4,2623.85,2023-05-30,App,West
102,8156,768,4,1144.75,2023-07-26,App,North
103,7017,514,3,1660.7,2022-01-26,App,South
104,1487,594,2,824.19,2022-08-27,App,North
105,7608,900,4,713.19,2022-03-22,In-store,South
106,3736,604,2,4663.07,2023-12-09,In-store,West
107,738,729,1,3358.56,2022-02-06,App,East
108,5368,361,4,102.86,2022-08-12,In-store,South
109,3889,424,1,4081.12,2022-08-12,In-store,South
110,6893,519,2,2700.7,2022-07-12,In-store,West
111,4844,493,2,636.47,2022-01-28,Web,West
112,9987,504,2,2321.13,2022-01-22,Web,South
113,9495,460,1,1892.22,2023-11-25,Web,North
114,6292,573,3,1669.5,2023-02-03,Web,East
115,2669,428,3,2369.55,2023-07-08,In-store,West
116,4239,503,4,3238.8,2022-04-04,Web,East
117,5072,109,1,2730.08,2023-01-29,App,West
118,4167,467,4,1481.23,2022-12-27,In-store,North
119,638,452,2,3645.45,2022-04-04,Web,North
120,4563,130,4,4944.85,2022-01-05,Web,East
121,2642,472,2,4833.37,2022-04-18,Web,North
122,8233,45,1,4983.5,2023-04-11,Web,North
123,8963,395,3,2487.55,2022-09-13,In-store,South
124,5803,472,1,312.4,2023-10-14,Web,South
125,4375,251,3,3669.54,2022-07-10,App,East
126,7639,935,4,3351.67,2022-03-07,In-store,West
127,3017,201,1,4838.31,2023-08-05,In-store,West
128,3711,123,4,1917.84,2022-01-09,Web,North
129,58,519,1,4971.19,2023-11-18,App,West
130,9846,29,3,421.83,2022-10-05,In-store,West
131,3238,483,2,1858.98,2023-05-16,In-store,West
132,6517,832,1,3726.72,2022-07-23,App,East
133,82,664,1,3114.58,2022-09-07,In-store,West
134,5990,323,4,1108.38,2023-03-10,App,North
135,6508,257,4,1850.52,2022-04-19,App,East
136,1509,609,2,895.07,2023-03-07,Web,North
137,5166,372,3,4973.04,2022-09-21,Web,East
138,8454,430,1,2620.5,2022-03-29,Web,South
139,3707,738,2,4349.52,2022-04-17,Web,South
140,6236,299,2,2030.12,2023-08-06,Web,North
141,4115,906,2,1296.06,2022-10-02,In-store,South
142,2318,591,3,2490.93,2023-02-12,Web,East
143,4673,587,1,3870.24,2022-12-01,App,West
144,8861,510,1,4559.49,2022-02-06,App,West
145,1271,1000,2,1045.16,2023-12-25,Web,North
146,9927,896,2,726.78,2023-01-02,Web,East
147,3815,929,2,889.41,2023-01-31,Web,South
148,4020,445,3,1586.87,2023-07-21,In-store,West
149,4716,992,1,3033.74,2023-12-31,In-store,East
150,6647,38,2,3714.48,2022-11-20,App,West
151,6840,660,1,1886.97,2022-04-09,Web,South
152,2232,352,3,4603.02,2023-09-01,Web,North
153,8633,456,3,2356.14,2023-05-06,App,West
154,581,755,4,2492.98,2022-05-05,Web,East
155,3322,821,2,4442.97,2022-08-25,App,East
156,376,567,1,406.04,2023-05-14,In-store,South
157,6082,17,4,3082.65,2023-10-12,In-store,South
158,5578,942,2,2845.02,2023-08-08,Web,South
159,3802,612,1,2064.82,2022-01-17,In-store,South
160,6490,386,1,2216.16,2022-02-27,App,West
161,10000,496,2,3476.16,2023-06-08,Web,West
162,729,500,3,2888.4,2023-11-19,App,South
163,4276,610,1,3311.94,2023-10-30,App,West
164,6781,139,4,2256.88,2022-03-05,Web,East
165,2424,590,1,2072.39,2023-08-01,Web,South
166,6327,466,4,2644.29,2022-12-17,App,North
167,2377,778,4,2186.97,2023-05-11,App,East
168,6634,279,4,4241.57,2023-11-02,In-store,North
169,2248,344,2,4373.81,2023-12-24,Web,West
170,6623,44,1,461.92,2022-11-18,In-store,West
171,9952,715,2,389.57,2023-05-17,In-store,West
172,5575,247,2,1515.45,2022-07-26,Web,West
173,7161,873,3,522.02,2022-09-12,Web,North
174,5994,440,2,2745.18,2023-12-04,Web,South
175,5560,924,3,204.19,2023-02-06,App,South
176,1913,795,1,3946.1,2022-01-03,App,West
177,3809,176,4,3280.25,2022-07-24,In-store,West
178,2678,968,4,1137.77,2023-10-08,Web,West
179,5579,886,2,1714.7,2023-07-31,Web,East
180,9887,37,2,1597.43,2022-01-30,App,North
181,4532,576,1,4620.67,2022-10-25,App,East
182,1738,303,1,4446.54,2022-11-10,Web,South
183,5698,495,1,2865.22,2022-11-18,App,East
184,46,817,1,1883.69,2023-10-01,In-store,West
185,7020,834,2,2362.64,2022-06-05,Web,East
186,5892,557,3,2882.69,2022-07-15,App,North
187,1942,58,4,2513.55,2023-02-25,App,West
188,6061,875,3,406.46,2023-07-13,Web,West
189,8348,65,3,2367.66,2023-12-09,App,West
190,962,382,1,4608.53,2022-10-12,In-store,South
191,945,324,1,2101.92,2023-08-03,App,South
192,7775,240,1,3535.22,2023-07-14,In-store,North
193,9471,624,4,4985.59,2023-11-05,In-store,South
194,9578,259,3,2807.12,2023-02-04,In-store,South
195,3920,602,4,2468.91,2023-06-01,Web,South
196,9929,242,1,1421.74,2023-07-28,In-store,South
197,6059,327,2,1223.36,2023-08-22,App,West
198,3839,854,4,2823.04,2022-02-24,App,West
199,5560,266,3,3413.17,2023-06-28,In-store,North
200,2651,266,2,2196.5,2022-12-26,In-store,South
201,8432,807,1,108.7,2023-10-26,Web,West
202,3255,577,1,2844.79,2022-10-08,In-store,West
203,6403,369,1,2900.89,2023-03-07,In-store,West
204,7628,314,3,458.24,2023-12-25,In-store,North
205,8692,244,2,597.75,2022-12-03,App,East
206,6220,293,2,1592.43,2022-11-01,App,North
207,4393,896,3,3030.41,2023-03-31,Web,North
208,7720,331,3,965.45,2022-01-19,Web,West
209,9622,802,2,1786.91,2022-10-03,Web,South
210,8719,891,3,821.3,2023-07-13,App,North
211,5852,906,3,1744.61,2023-11-27,In-store,East
212,1809,78,3,3669.13,2022-12-18,App,North
213,9403,294,1,1930.35,2023-03-03,In-store,North
214,8176,508,1,4105.57,2023-11-27,In-store,East
215,9241,317,1,4644.44,2023-12-31,In-store,North
216,4395,450,2,1605.37,2023-08-11,In-store,West
217,4669,103,3,3145.92,2022-08-10,Web,East
218,9347,586,1,1386.16,2022-10-30,Web,East
219,5881,992,4,2887.49,2023-03-02,In-store,South
220,676,29,2,684.44,2023-09-23,App,East
221,3279,690,1,3051.47,2022-12-24,Web,East
222,2240,321,4,945.97,2023-08-08,Web,South
223,9244,364,4,2028.78,2023-08-13,In-store,North
224,429,249,2,1259.92,2022-04-11,App,East
225,2132,254,3,3998.14,2023-01-31,Web,East
226,8690,772,3,990.35,2022-01-18,In-store,North
227,3867,97,3,4820.43,2022-06-12,Web,North
228,851,750,1,683.39,2022-02-02,App,East
229,2892,664,2,2127.82,2023-06-29,Web,West
230,9251,681,3,3864.29,2022-12-19,App,East
231,2145,22,2,673.84,2022-02-23,Web,South
232,8036,522,4,1640.65,2022-07-16,In-store,East
233,6551,556,2,2318.73,2023-12-11,Web,North
234,7104,700,4,3835.32,2023-10-30,Web,North
235,9974,154,4,3958.2,2022-01-11,In-store,East
236,8681,398,2,4292.12,2023-09-27,App,North
237,8596,140,3,1601.55,2023-10-16,In-store,South
238,5343,20,4,175.06,2023-09-01,In-store,South
239,8595,482,3,3625.55,2022-08-10,In-store,North
240,3658,291,4,947.96,2022-03-23,Web,North
241,9994,365,3,2011.26,2023-11-24,Web,West
242,184,214,3,4043.83,2022-04-27,App,South
243,6421,575,3,3091.22,2023-05-22,App,North
244,1517,486,4,4380.07,2023-06-02,App,South
245,7463,657,3,3299.58,2022-02-26,App,East
246,4157,412,4,1974.38,2023-12-11,Web,South
247,9901,215,3,262.67,2022-09-21,In-store,East
248,5086,848,3,172.28,2022-05-08,Web,West
249,3694,599,1,1333.4,2023-08-21,In-store,East
250,9742,933,4,3268.58,2023-03-24,Web,West
251,4411,242,4,3599.23,2022-12-19,In-store,North
252,2792,484,2,1786.52,2022-01-08,In-store,West
253,996,279,4,4244.31,2023-05-02,Web,North
254,2857,735,2,4722.43,2023-03-30,App,South
255,8844,143,1,1561.18,2022-01-03,Web,West
256,7074,909,3,1824.13,2022-05-31,In-store,West
257,9085,910,3,2086.32,2022-08-28,App,South
258,6180,982,1,1461.62,2023-01-20,In-store,South
259,2003,905,2,3268.43,2022-06-27,Web,East
260,9257,136,4,4554.07,2023-10-31,Web,North
261,8361,462,4,2194.69,2022-12-23,Web,West
262,171,117,1,982.27,2023-07-09,App,West
263,3690,583,3,1056.71,2022-08-25,Web,East
264,739,835,4,3636.95,2022-03-16,In-store,North
265,3563,356,4,3697.58,2023-05-14,Web,North
266,1318,23,2,2432.14,2023-06-06,In-store,West
267,7826,81,4,3827.44,2022-07-11,App,East
268,1288,809,1,2602.85,2022-09-07,App,West
269,6082,89,2,1594.23,2022-03-10,In-store,North
270,4037,855,3,783.68,2023-08-08,App,West
271,4537,459,3,2629.19,2023-09-25,In-store,North
272,8850,800,3,4196.38,2022-11-13,App,South
273,4204,885,1,4635.93,2023-08-20,In-store,North
274,8124,705,3,397.26,2022-08-05,App,East
275,5335,539,2,4600.17,2022-05-29,Web,East
276,7925,988,4,972.11,2023-09-30,In-store,West
277,3202,999,2,3062.41,2022-04-24,App,South
278,8768,730,1,2240.67,2023-04-06,In-store,North
279,8492,832,1,3534.48,2023-10-22,In-store,East
280,1893,585,4,2696.27,2023-06-14,In-store,East
281,5482,478,4,2009.67,2022-05-29,Web,North
282,224,323,4,448.97,2022-04-14,Web,West
283,6721,875,1,229.66,2022-01-06,Web,North
284,7655,479,4,1263.56,2023-08-10,App,West
285,3649,693,2,3754.22,2023-04-14,Web,West
286,2742,522,1,3127.91,2022-01-04,In-store,South
287,7153,51,4,2147.78,2023-07-03,Web,East
288,5228,672,1,2723.4,2023-01-15,Web,North
289,5512,193,2,2995.06,2022-12-06,App,West
290,6220,558,1,445.33,2022-05-04,App,East
291,2298,712,3,1681.46,2023-04-14,Web,North
292,4337,103,2,4408.76,2022-09-28,Web,North
293,7394,650,1,3693.79,2022-05-07,Web,West
294,9892,856,2,523.26,2023-11-15,App,West
295,3335,236,3,1452.64,2022-05-17,Web,West
296,2063,339,2,1090.59,2023-12-04,In-store,North
297,8857,190,3,1970.99,2022-06-15,Web,West
298,8688,117,1,4913.46,2023-10-07,App,East
299,1465,71,3,2927.65,2023-12-27,App,South
300,3706,969,3,874.26,2022-07-29,App,East
301,6913,822,3,3947.99,2023-09-13,App,North
302,436,992,3,2972.08,2023-12-28,App,West
303,4397,723,2,4323.06,2022-07-08,App,West
304,7097,935,2,2482.99,2023-01-03,In-store,East
305,1698,797,3,4463.09,2022-03-30,App,East
306,8130,272,1,4293.4,2023-05-04,Web,West
307,8095,231,4,411.03,2023-03-23,In-store,East
308,7123,940,4,4139.69,2023-11-24,Web,North
309,9239,451,2,677.67,2022-06-14,Web,West
310,9282,709,4,636.12,2023-06-09,App,West
311,1419,454,3,884.92,2023-09-16,Web,South
312,3049,785,3,4609.41,2023-02-27,App,South
313,8762,721,2,2525.63,2022-07-30,App,North
314,7161,996,4,1674.08,2023-02-17,Web,North
315,8221,554,1,370.53,2022-12-01,Web,East
316,7644,96,3,671.95,2023-07-20,App,West
317,641,503,1,1027.26,2023-12-02,In-store,North
318,7202,759,3,1010.41,2023-01-01,App,West
319,6419,296,3,495.24,2022-02-17,Web,North
320,6488,270,4,494.4,2023-04-17,App,East
321,4776,672,1,1560.04,2022-10-11,In-store,North
322,1986,427,2,2781.75,2022-06-26,In-store,West
323,4817,998,1,2913.32,2022-03-29,App,North
324,4168,461,1,1512.02,2022-05-21,Web,North
325,2030,943,4,492.95,2023-07-16,Web,South
326,7313,663,3,3082.22,2022-03-11,In-store,West
327,7206,60,2,3315.31,2023-11-27,In-store,East
328,8666,12,1,3521.14,2023-12-15,Web,North
329,5117,598,2,4646.33,2022-05-24,In-store,West
330,171,990,2,278.11,2023-04-30,In-store,East
331,3245,629,2,1131.02,2022-01-15,App,South
332,2472,58,1,2902.23,2023-01-29,Web,East
333,7032,790,3,149.14,2022-05-19,Web,South
334,5976,704,2,347.86,2022-09-07,App,North
335,1246,330,3,2029.97,2022-02-06,In-store,North
336,7770,396,3,2917.18,2023-12-15,App,North
337,8990,356,1,3445.34,2023-03-16,In-store,West
338,6020,476,1,1317.96,2023-06-19,Web,South
339,5568,855,1,3140.8,2022-01-14,App,West
340,322,792,1,1908.94,2022-02-23,Web,West
341,3935,988,3,2824.63,2022-05-18,In-store,East
342,7320,456,4,3380.7,2023-04-29,Web,South
343,3896,532,4,1330.13,2023-10-10,App,North
344,9261,643,3,1856.12,2022-01-02,Web,West
345,7164,711,4,2810.07,2022-10-15,Web,North
346,8516,535,1,1234.32,2022-12-25,App,North
347,6556,443,3,4706.17,2023-12-28,Web,East
348,3333,355,4,3645.96,2022-05-05,Web,South
349,5339,545,1,3179.16,2022-04-13,In-store,West
350,2668,371,3,3673.39,2023-08-23,App,North
351,8837,46,3,1247.22,2023-11-06,Web,West
352,3845,35,1,132.05,2023-03-10,App,North
353,9904,22,1,3272.03,2022-03-08,In-store,South
354,9033,34,3,4826.78,2022-03-31,In-store,South
355,8495,36,4,3327.59,2023-07-07,Web,East
356,3262,101,3,953.01,2022-07-03,App,West
357,3761,486,1,4307.08,2022-03-19,Web,West
358,5080,154,3,2936.83,2023-10-06,App,West
359,7003,41,2,3126.03,2022-10-02,App,East
360,336,522,2,2615.25,2023-06-13,Web,North
361,1879,357,4,3696.79,2022-05-17,In-store,East
362,1853,626,2,4800.09,2023-06-01,App,East
363,4756,391,1,1936.18,2023-11-01,App,North
364,2001,42,4,2946.15,2022-09-08,In-store,West
365,5239,139,1,4285.63,2022-12-14,Web,North
366,7789,465,2,4406.56,2022-11-08,In-store,North
367,2130,72,3,4133.06,2022-04-07,App,North
368,5133,583,3,2847.96,2022-12-12,App,East
369,969,110,1,4687.52,2022-03-07,In-store,East
370,2526,619,1,932.48,2022-03-21,App,South
371,2347,765,4,1095.64,2022-06-13,In-store,West
372,750,72,1,1163.77,2023-03-03,Web,North
373,9492,737,2,2071.85,2023-03-27,App,East
374,8496,646,2,3369.79,2022-08-19,App,East
375,2916,46,4,2161.88,2022-05-25,App,South
376,5957,389,2,4754.29,2022-12-01,In-store,South
377,3345,592,4,1279.09,2022-01-14,Web,South
378,7580,941,1,4090.46,2023-07-18,Web,South
379,8228,112,2,3931.98,2022-05-03,Web,West
380,3550,270,4,1721.79,2022-06-13,Web,West
381,5622,34,3,2406.3,2023-10-13,App,North
382,6726,952,2,3831.82,2022-04-26,App,East
383,1434,570,1,4285.65,2023-12-29,App,South
384,81,818,2,3444.14,2022-11-05,Web,East
385,9695,994,4,4618.94,2023-08-18,App,North
386,5506,217,2,3138.47,2022-05-25,In-store,North
387,3512,854,3,2088.83,2023-03-31,In-store,South
388,6179,707,4,3152.81,2023-01-21,Web,North
389,2943,617,4,3098.75,2022-05-18,Web,South
390,8987,895,4,2806.89,2023-03-25,Web,West
391,9923,466,2,1601.07,2023-02-07,App,East
392,8376,440,2,3369.52,2023-10-02,In-store,South
393,4654,404,4,4023.6,2022-04-03,Web,North
394,9364,269,1,4798.25,2022-07-07,Web,West
395,2043,126,3,2537.8,2023-07-22,App,South
396,1288,234,3,3786.32,2022-05-10,Web,West
397,3561,994,4,4029.57,2022-02-10,In-store,East
398,7794,597,2,3402.84,2022-02-19,App,North
399,282,861,3,1957.02,2022-12-22,Web,East
400,4711,499,1,3609.03,2022-12-23,Web,North
401,7774,201,3,4890.02,2022-07-02,In-store,North
402,8609,616,4,3071.83,2022-01-20,App,West
403,317,854,4,3716.84,2022-10-21,Web,North
404,2964,223,2,1260.8,2023-04-18,App,West
405,1092,45,2,3308.88,2023-07-21,App,West
406,5079,671,2,267.53,2023-06-12,Web,South
407,3886,454,1,4170.38,2023-02-15,Web,East
408,5600,681,1,1182.76,2022-12-27,Web,East
409,677,558,3,420.09,2022-05-16,App,South
410,1125,258,2,970.26,2023-08-07,Web,North
411,1114,636,1,2402.42,2022-05-05,App,North
412,1973,903,4,307.29,2022-08-24,Web,West
413,7768,140,1,270.81,2023-06-19,Web,South
414,4223,320,3,2599.94,2022-12-14,In-store,South
415,4715,43,2,2884.72,2022-07-24,App,West
416,4930,51,3,1660.87,2022-10-24,App,West
417,9615,851,2,182.43,2022-01-18,Web,North
418,7662,367,4,2352.02,2022-06-06,In-store,South
419,7144,788,4,4601.52,2022-01-30,App,West
420,8948,397,2,2473.31,2022-10-06,Web,East
421,4872,943,3,2321.49,2023-02-04,In-store,East
422,3837,981,1,2836.79,2023-01-03,App,North
423,7310,229,2,906.88,2022-02-02,In-store,South
424,7382,410,4,4034.77,2023-05-30,In-store,East
425,4475,225,2,262.83,2023-12-22,Web,East
426,8684,826,1,375.83,2023-01-05,App,South
427,684,406,1,375.2,2022-02-20,Web,South
428,1976,315,3,3983.73,2022-09-23,Web,West
429,304,203,4,1904.54,2022-10-14,App,South
430,1953,911,1,3251.94,2022-01-03,Web,South
431,3570,685,1,489.72,2023-01-15,App,West
432,7910,303,3,3837.13,2023-02-23,In-store,West
433,4005,594,3,1740.44,2023-06-29,Web,South
434,6066,31,4,1156.09,2022-11-04,App,North
435,9453,879,3,3602.35,2023-03-15,In-store,North
436,7398,354,2,415.93,2023-05-25,App,South
437,1031,413,2,2482.32,2022-10-23,App,West
438,5827,41,4,1977.32,2023-07-01,In-store,South
439,4352,209,2,3732.16,2023-07-02,App,North
440,9387,274,1,3231.03,2022-05-08,In-store,East
441,7720,96,1,4468.85,2023-08-23,Web,South
442,8426,10,3,3661.07,2023-02-18,Web,West
443,1719,777,3,2136.75,2022-04-16,Web,North
444,493,948,4,1007.49,2023-10-16,App,North
445,2015,372,2,2305.51,2022-02-12,App,East
446,8030,667,4,918.3,2023-05-22,In-store,East
447,7535,794,2,655.43,2023-11-22,App,North
448,8537,249,1,339.12,2022-11-08,In-store,North
449,5887,597,2,2756.56,2023-01-19,Web,East
450,7628,29,3,2874.42,2023-04-14,Web,South
451,8457,20,4,3311.03,2022-12-05,Web,South
452,1673,329,2,4445.26,2022-07-30,App,South
453,3648,452,3,4573.51,2022-02-06,Web,North
454,6389,143,2,1769.73,2022-01-11,Web,North
455,8621,180,4,3217.36,2023-09-11,In-store,East
456,3163,215,3,2364.43,2022-08-08,Web,West
457,2911,618,4,3788.22,2022-05-23,In-store,South
458,8646,362,3,3610.64,2022-03-04,Web,West
459,8541,336,3,1057.47,2022-10-06,Web,West
460,8614,129,1,952.48,2023-12-26,Web,East
461,6634,403,4,659.45,2023-03-01,App,South
462,582,410,4,702.01,2023-10-27,In-store,South
463,2663,315,1,1305.22,2022-12-30,App,South
464,5353,516,1,1813.42,2023-09-18,App,West
465,4259,830,3,3142.7,2022-06-24,In-store,North
466,6924,220,4,3755.44,2022-09-27,App,North
467,6829,1000,2,782.34,2023-02-19,In-store,East
468,9222,697,4,1337.55,2023-06-16,App,East
469,1325,497,4,2999.27,2022-08-17,App,North
470,101,894,1,3815.02,2022-11-10,Web,East
471,416,188,4,4121.06,2022-10-16,Web,West
472,5060,291,2,1978.9,2023-04-07,App,West
473,9576,675,1,2285.39,2022-12-18,Web,South
474,1044,364,2,3421.69,2023-08-17,In-store,East
475,1747,424,4,1462.89,2023-01-31,Web,North
476,4492,917,4,504.37,2023-08-18,Web,North
477,7658,613,2,2271.74,2023-03-07,In-store,North
478,4444,155,3,4929.61,2023-11-11,App,West
479,9481,175,1,1930.35,2022-09-30,Web,East
480,4861,872,3,1561.79,2023-05-07,In-store,East
481,4171,781,3,4130.44,2023-02-02,In-store,South
482,4149,310,2,4598.83,2022-01-18,Web,East
483,7454,262,4,3925.51,2023-02-10,In-store,South
484,6210,927,2,2666.07,2022-10-08,App,East
485,38,599,2,4453.0,2023-01-28,In-store,East
486,8958,161,3,2990.39,2022-03-25,In-store,West
487,4807,649,1,1546.77,2023-09-20,App,North
488,4844,837,3,4690.79,2023-02-03,App,West
489,116,504,1,3318.62,2022-06-13,App,East
490,7765,940,3,754.6,2023-07-12,Web,North
491,279,186,4,1745.2,2022-11-20,App,East
492,454,493,4,3332.56,2022-05-12,App,East
493,3214,38,3,4202.74,2023-11-30,Web,East
494,4704,752,3,4944.99,2022-12-19,App,East
495,4465,812,3,1092.2,2023-05-14,App,West
496,301,836,1,4046.22,2023-05-08,In-store,East
497,8909,544,2,680.11,2022-02-17,App,West
498,6043,899,3,3439.24,2022-05-01,App,North
499,5067,738,2,624.52,2022-08-28,In-store,East
500,9568,618,1,2845.38,2022-07-09,App,South
501,195,59,2,2660.25,2023-01-31,Web,South
502,1329,908,2,4481.86,2022-05-04,Web,East
503,6394,612,4,2730.86,2022-02-06,App,North
504,4354,879,4,3610.24,2023-08-09,App,West
505,7134,174,4,4332.4,2023-08-04,In-store,East
506,7389,928,3,790.25,2022-05-09,In-store,West
507,1558,927,3,677.78,2022-01-25,App,East
508,5977,653,4,691.18,2023-12-14,App,North
509,7530,305,3,1690.36,2022-05-21,App,South
510,3125,982,2,2009.72,2023-01-13,App,South
511,4883,347,4,289.06,2022-09-24,Web,South
512,7120,759,2,1321.09,2022-08-17,App,South
513,8721,69,3,133.59,2022-03-04,App,South
514,8690,490,2,1036.2,2023-01-06,Web,West
515,6783,490,4,2025.28,2022-01-29,App,South
516,6299,576,1,3796.9,2022-10-12,In-store,South
517,7147,154,3,4986.85,2022-05-16,App,North
518,1811,561,2,1076.69,2022-01-09,In-store,West
519,7915,723,1,3535.95,2022-10-22,In-store,West
520,2846,502,4,1826.81,2023-09-03,App,South
521,2126,919,1,4262.91,2022-10-24,App,North
522,7342,236,4,1733.73,2023-11-25,In-store,East
523,320,220,4,1616.28,2022-06-02,App,South
524,8087,194,1,2721.97,2022-04-02,App,North
525,3364,259,1,4988.97,2022-04-24,Web,East
526,3387,495,1,1828.61,2022-07-02,Web,South
527,3339,973,3,1091.97,2023-06-15,App,North
528,8178,484,1,3509.63,2022-07-12,In-store,South
529,8437,149,4,4479.59,2022-10-15,App,East
530,6735,430,2,4167.07,2023-08-15,App,East
531,7259,365,4,4412.66,2023-10-27,App,East
532,870,167,2,265.14,2022-08-29,In-store,West
533,1460,846,1,493.71,2023-11-22,In-store,North
534,6785,550,1,3982.38,2023-05-26,Web,South
535,4110,28,3,2121.47,2023-01-18,Web,South
536,7043,453,1,2311.58,2023-10-16,In-store,North
537,6430,813,2,2047.79,2022-06-14,Web,South
538,8863,614,3,926.22,2023-09-18,In-store,West
539,686,62,2,4702.26,2022-04-12,In-store,North
540,5028,509,1,3683.08,2023-12-09,Web,West
541,1975,785,4,1682.03,2022-03-07,App,West
542,7595,168,4,3000.57,2023-10-12,App,South
543,9204,231,4,2686.31,2022-08-25,In-store,North
