customer_id,feedback_text,sentiment_score,tone_label
8793,Product quality average,5,Positive
5688,Excellent service,5,Positive
6456,Great product!,2,Negative
9207,Product quality average,2,Negative
6421,Terrible experience,5,Positive
9152,Terrible experience,3,Neutral
6695,Loved it!,1,Negative
96,Terrible experience,1,Negative
4163,Loved it!,1,Negative
8423,Excellent service,2,Negative
2721,Loved it!,4,Positive
384,Excellent service,5,Positive
3009,Excellent service,5,Positive
3917,Poor packaging,4,Positive
7533,Loved it!,5,Positive
5844,Product quality average,2,Negative
7418,Terrible experience,2,Negative
1190,Not satisfied,3,Neutral
4466,Great product!,4,Positive
774,Terrible experience,1,Negative
153,Excellent service,5,Positive
5451,Product quality average,1,Negative
5366,Terrible experience,2,Negative
8458,Poor packaging,1,Negative
3512,Terrible experience,5,Positive
6288,Great product!,2,Negative
3032,Product quality average,1,Negative
9387,Product quality average,3,Neutral
1404,Great product!,2,Negative
7741,Poor packaging,4,Positive
6084,Poor packaging,4,Positive
6198,Fast delivery,5,Positive
1757,Fast delivery,5,Positive
9128,Poor packaging,3,Neutral
3731,Not satisfied,3,Neutral
134,Excellent service,2,Negative
6955,Great product!,5,Positive
2677,Excellent service,2,Negative
8686,Poor packaging,3,Neutral
1476,Product quality average,3,Neutral
6509,Loved it!,5,Positive
6755,Excellent service,5,Positive
4832,Product quality average,4,Positive
5013,Terrible experience,3,Neutral
1164,Terrible experience,3,Neutral
7225,Terrible experience,5,Positive
5311,Fast delivery,5,Positive
6588,Loved it!,2,Negative
9374,Poor packaging,4,Positive
8246,Great product!,4,Positive
8738,Excellent service,2,Negative
8232,Not satisfied,1,Negative
1925,Fast delivery,5,Positive
3081,Not satisfied,1,Negative
8870,Product quality average,2,Negative
7901,Not satisfied,3,Neutral
2149,Fast delivery,1,Negative
3372,Terrible experience,4,Positive
8024,Excellent service,4,Positive
1997,Poor packaging,4,Positive
4451,Excellent service,1,Negative
6475,Loved it!,3,Neutral
7086,Excellent service,2,Negative
7782,Loved it!,4,Positive
2130,Fast delivery,2,Negative
1726,Fast delivery,2,Negative
7413,Not satisfied,4,Positive
90,Loved it!,4,Positive
988,Loved it!,5,Positive
6521,Not satisfied,2,Negative
30,Excellent service,2,Negative
8123,Not satisfied,4,Positive
321,Loved it!,4,Positive
7663,Great product!,4,Positive
2597,Poor packaging,4,Positive
1292,Not satisfied,5,Positive
1216,Product quality average,5,Positive
3970,Not satisfied,3,Neutral
4251,Poor packaging,3,Neutral
8122,Not satisfied,1,Negative
315,Poor packaging,3,Neutral
8348,Not satisfied,2,Negative
8373,Fast delivery,4,Positive
9649,Loved it!,3,Neutral
3467,Great product!,1,Negative
9197,Excellent service,2,Negative
9081,Fast delivery,2,Negative
316,Fast delivery,4,Positive
2228,Great product!,2,Negative
8825,Product quality average,5,Positive
2982,Fast delivery,2,Negative
9533,Not satisfied,1,Negative
1063,Poor packaging,5,Positive
524,Excellent service,5,Positive
552,Great product!,2,Negative
2449,Not satisfied,4,Positive
1968,Terrible experience,5,Positive
8066,Poor packaging,5,Positive
6290,Product quality average,5,Positive
8195,Great product!,2,Negative
8319,Poor packaging,4,Positive
4836,Product quality average,1,Negative
7065,Great product!,1,Negative
784,Fast delivery,5,Positive
4649,Product quality average,1,Negative
7606,Excellent service,2,Negative
2229,Product quality average,3,Neutral
2776,Poor packaging,5,Positive
9843,Terrible experience,3,Neutral
2767,Excellent service,4,Positive
7529,Fast delivery,3,Neutral
3885,Not satisfied,4,Positive
4956,Excellent service,2,Negative
1271,Excellent service,1,Negative
4923,Terrible experience,5,Positive
6648,Terrible experience,3,Neutral
4572,Fast delivery,3,Neutral
8054,Product quality average,3,Neutral
6621,Fast delivery,5,Positive
214,Not satisfied,3,Neutral
300,Poor packaging,2,Negative
8409,Not satisfied,3,Neutral
3796,Not satisfied,4,Positive
440,Poor packaging,4,Positive
8701,Poor packaging,3,Neutral
4914,Loved it!,3,Neutral
9425,Great product!,2,Negative
9088,Not satisfied,5,Positive
2489,Product quality average,3,Neutral
816,Great product!,1,Negative
7404,Not satisfied,2,Negative
5962,Excellent service,2,Negative
1442,Great product!,1,Negative
9882,Excellent service,2,Negative
5018,Terrible experience,5,Positive
5082,Loved it!,4,Positive
698,Excellent service,3,Neutral
3431,Great product!,3,Neutral
4450,Excellent service,3,Neutral
4780,Not satisfied,4,Positive
8746,Fast delivery,3,Neutral
3878,Fast delivery,5,Positive
7081,Excellent service,3,Neutral
3556,Poor packaging,3,Neutral
6250,Terrible experience,5,Positive
4449,Product quality average,2,Negative
9996,Product quality average,5,Positive
1108,Poor packaging,3,Neutral
5665,Loved it!,3,Neutral
8139,Great product!,1,Negative
9146,Poor packaging,3,Neutral
3860,Terrible experience,5,Positive
9638,Fast delivery,2,Negative
7326,Fast delivery,4,Positive
5219,Fast delivery,1,Negative
5246,Fast delivery,3,Neutral
4583,Loved it!,1,Negative
2491,Product quality average,4,Positive
9575,Loved it!,2,Negative
6159,Poor packaging,5,Positive
2891,Poor packaging,3,Neutral
5158,Loved it!,5,Positive
3673,Product quality average,3,Neutral
6348,Terrible experience,4,Positive
5234,Not satisfied,5,Positive
4532,Product quality average,4,Positive
8811,Great product!,2,Negative
6247,Product quality average,4,Positive
9911,Loved it!,1,Negative
8292,Not satisfied,3,Neutral
2075,Great product!,4,Positive
8922,Loved it!,1,Negative
8960,Loved it!,5,Positive
7824,Terrible experience,2,Negative
4187,Fast delivery,4,Positive
6840,Excellent service,3,Neutral
9648,Terrible experience,5,Positive
52,Not satisfied,1,Negative
948,Loved it!,1,Negative
7083,Excellent service,4,Positive
2399,Not satisfied,2,Negative
4488,Great product!,5,Positive
9134,Loved it!,5,Positive
1695,Great product!,5,Positive
7950,Product quality average,3,Neutral
7242,Poor packaging,1,Negative
4302,Loved it!,4,Positive
9865,Excellent service,2,Negative
4737,Poor packaging,5,Positive
69,Excellent service,4,Positive
5412,Product quality average,3,Neutral
3957,Loved it!,2,Negative
3723,Loved it!,1,Negative
8174,Loved it!,1,Negative
9955,Not satisfied,5,Positive
6887,Product quality average,4,Positive
719,Fast delivery,3,Neutral
6662,Terrible experience,4,Positive
6291,Loved it!,2,Negative
1945,Excellent service,4,Positive
9699,Great product!,1,Negative
3760,Product quality average,5,Positive
1697,Fast delivery,3,Neutral
6514,Not satisfied,3,Neutral
4108,Not satisfied,2,Negative
9360,Fast delivery,5,Positive
9489,Great product!,5,Positive
71,Great product!,5,Positive
9934,Great product!,5,Positive
3854,Fast delivery,1,Negative
7936,Product quality average,4,Positive
5294,Excellent service,4,Positive
5211,Poor packaging,3,Neutral
5884,Not satisfied,2,Negative
5021,Loved it!,5,Positive
3367,Excellent service,2,Negative
4112,Excellent service,4,Positive
5834,Excellent service,3,Neutral
6265,Product quality average,3,Neutral
2355,Terrible experience,5,Positive
177,Product quality average,5,Positive
6765,Loved it!,5,Positive
5872,Product quality average,4,Positive
4812,Poor packaging,4,Positive
3814,Not satisfied,5,Positive
5807,Poor packaging,1,Negative
5645,Not satisfied,5,Positive
1207,Poor packaging,5,Positive
6020,Terrible experience,4,Positive
3359,Loved it!,2,Negative
7848,Loved it!,2,Negative
4581,Poor packaging,2,Negative
5804,Terrible experience,2,Negative
3843,Loved it!,4,Positive
1441,Product quality average,1,Negative
1756,Poor packaging,3,Neutral
7522,Loved it!,2,Negative
9098,Product quality average,3,Neutral
553,Terrible experience,5,Positive
9529,Product quality average,4,Positive
9628,Terrible experience,5,Positive
4621,Not satisfied,4,Positive
3374,Product quality average,2,Negative
3943,Poor packaging,3,Neutral
2469,Not satisfied,4,Positive
5599,Fast delivery,5,Positive
2106,Great product!,1,Negative
9232,Fast delivery,2,Negative
9451,Great product!,5,Positive
9760,Terrible experience,3,Neutral
6888,Loved it!,2,Negative
7330,Terrible experience,3,Neutral
743,Product quality average,2,Negative
8287,Poor packaging,4,Positive
355,Product quality average,5,Positive
1615,Product quality average,4,Positive
4813,Product quality average,3,Neutral
482,Terrible experience,3,Neutral
7598,Fast delivery,4,Positive
7676,Not satisfied,4,Positive
9441,Product quality average,1,Negative
5145,Excellent service,4,Positive
727,Product quality average,5,Positive
4040,Great product!,3,Neutral
8443,Excellent service,3,Neutral
4347,Terrible experience,1,Negative
732,Excellent service,4,Positive
4813,Great product!,2,Negative
3883,Terrible experience,1,Negative
5271,Terrible experience,5,Positive
1612,Poor packaging,1,Negative
3134,Fast delivery,5,Positive
1080,Product quality average,2,Negative
6541,Terrible experience,5,Positive
7838,Not satisfied,4,Positive
7896,Fast delivery,2,Negative
6174,Great product!,5,Positive
5565,Poor packaging,2,Negative
8840,Product quality average,3,Neutral
4070,Poor packaging,4,Positive
3655,Loved it!,3,Neutral
6931,Fast delivery,5,Positive
246,Terrible experience,4,Positive
344,Fast delivery,2,Negative
101,Excellent service,1,Negative
6672,Fast delivery,1,Negative
8919,Product quality average,4,Positive
3570,Fast delivery,5,Positive
1911,Product quality average,4,Positive
7766,Not satisfied,3,Neutral
1761,Product quality average,1,Negative
1113,Loved it!,5,Positive
400,Excellent service,2,Negative
9488,Product quality average,2,Negative
7912,Excellent service,5,Positive
7555,Terrible experience,1,Negative
6390,Excellent service,1,Negative
2134,Excellent service,2,Negative
1189,Product quality average,5,Positive
6347,Excellent service,3,Neutral
3254,Fast delivery,2,Negative
2557,Terrible experience,5,Positive
3719,Terrible experience,1,Negative
782,Excellent service,2,Negative
7078,Product quality average,4,Positive
3763,Terrible experience,4,Positive
8429,Poor packaging,2,Negative
6046,Terrible experience,5,Positive
1040,Terrible experience,1,Negative
599,Fast delivery,4,Positive
6963,Product quality average,5,Positive
8608,Not satisfied,2,Negative
8021,Product quality average,2,Negative
1766,Terrible experience,5,Positive
3739,Great product!,1,Negative
2205,Great product!,2,Negative
8700,Great product!,2,Negative
9232,Excellent service,1,Negative
8644,Product quality average,5,Positive
4319,Great product!,2,Negative
6221,Poor packaging,5,Positive
7880,Excellent service,5,Positive
2726,Great product!,2,Negative
7200,Poor packaging,5,Positive
2058,Product quality average,5,Positive
5133,Terrible experience,1,Negative
4174,Terrible experience,1,Negative
8041,Not satisfied,1,Negative
744,Great product!,3,Neutral
6452,Excellent service,4,Positive
5510,Great product!,1,Negative
6568,Not satisfied,4,Positive
7033,Not satisfied,4,Positive
6656,Not satisfied,1,Negative
5273,Excellent service,5,Positive
3250,Terrible experience,3,Neutral
540,Excellent service,5,Positive
5408,Excellent service,1,Negative
6564,Product quality average,4,Positive
2060,Loved it!,4,Positive
3669,Poor packaging,3,Neutral
6874,Great product!,5,Positive
1433,Poor packaging,2,Negative
8540,Product quality average,1,Negative
7310,Excellent service,4,Positive
7983,Excellent service,4,Positive
1011,Loved it!,5,Positive
9541,Not satisfied,5,Positive
6743,Terrible experience,1,Negative
7540,Excellent service,1,Negative
7640,Loved it!,2,Negative
7054,Not satisfied,5,Positive
7165,Excellent service,3,Neutral
1947,Great product!,3,Neutral
9798,Great product!,4,Positive
7422,Not satisfied,3,Neutral
4615,Loved it!,2,Negative
9009,Terrible experience,2,Negative
8497,Loved it!,3,Neutral
325,Fast delivery,3,Neutral
3220,Not satisfied,1,Negative
7432,Loved it!,4,Positive
4892,Loved it!,1,Negative
8470,Fast delivery,2,Negative
56,Poor packaging,4,Positive
7431,Loved it!,2,Negative
5219,Product quality average,3,Neutral
4488,Poor packaging,1,Negative
8236,Excellent service,3,Neutral
453,Poor packaging,4,Positive
6834,Excellent service,2,Negative
3553,Loved it!,3,Neutral
9299,Poor packaging,4,Positive
6201,Poor packaging,4,Positive
4586,Terrible experience,3,Neutral
2763,Product quality average,4,Positive
25,Excellent service,4,Positive
9075,Poor packaging,2,Negative
5809,Great product!,4,Positive
8716,Poor packaging,1,Negative
7288,Great product!,4,Positive
9605,Product quality average,3,Neutral
706,Not satisfied,5,Positive
836,Fast delivery,2,Negative
4342,Poor packaging,3,Neutral
2138,Product quality average,5,Positive
4607,Product quality average,2,Negative
9547,Product quality average,3,Neutral
4121,Terrible experience,4,Positive
35,Terrible experience,4,Positive
1123,Terrible experience,2,Negative
3211,Excellent service,1,Negative
3826,Product quality average,1,Negative
2849,Not satisfied,2,Negative
7053,Loved it!,3,Neutral
5880,Fast delivery,5,Positive
1048,Fast delivery,2,Negative
2505,Product quality average,2,Negative
741,Product quality average,5,Positive
8266,Not satisfied,3,Neutral
6347,Not satisfied,4,Positive
2845,Product quality average,5,Positive
8153,Poor packaging,1,Negative
3575,Not satisfied,2,Negative
3572,Excellent service,1,Negative
3549,Product quality average,3,Neutral
5782,Fast delivery,1,Negative
8065,Great product!,1,Negative
5240,Excellent service,3,Neutral
5905,Not satisfied,1,Negative
8678,Not satisfied,1,Negative
2459,Fast delivery,3,Neutral
9496,Terrible experience,5,Positive
5729,Poor packaging,3,Neutral
9407,Loved it!,5,Positive
1247,Poor packaging,3,Neutral
1644,Great product!,4,Positive
7416,Fast delivery,1,Negative
8413,Terrible experience,2,Negative
9955,Fast delivery,4,Positive
4995,Fast delivery,4,Positive
3355,Poor packaging,1,Negative
5590,Not satisfied,5,Positive
5712,Fast delivery,3,Neutral
4655,Loved it!,1,Negative
1183,Great product!,3,Neutral
8459,Loved it!,5,Positive
7477,Terrible experience,4,Positive
1109,Fast delivery,5,Positive
1766,Fast delivery,4,Positive
487,Excellent service,4,Positive
3185,Product quality average,1,Negative
2906,Not satisfied,3,Neutral
2124,Product quality average,4,Positive
8594,Excellent service,3,Neutral
1735,Not satisfied,4,Positive
3260,Loved it!,4,Positive
218,Great product!,1,Negative
2512,Terrible experience,1,Negative
4609,Loved it!,3,Neutral
6395,Terrible experience,3,Neutral
4327,Loved it!,1,Negative
8997,Not satisfied,4,Positive
745,Great product!,1,Negative
4515,Poor packaging,2,Negative
2565,Poor packaging,2,Negative
7904,Poor packaging,2,Negative
3286,Great product!,3,Neutral
2521,Great product!,5,Positive
7492,Terrible experience,4,Positive
5361,Not satisfied,2,Negative
9916,Fast delivery,5,Positive
2653,Terrible experience,1,Negative
3015,Not satisfied,1,Negative
7471,Great product!,4,Positive
3922,Terrible experience,5,Positive
9220,Terrible experience,2,Negative
6261,Poor packaging,2,Negative
1308,Fast delivery,4,Positive
7937,Not satisfied,4,Positive
2517,Fast delivery,1,Negative
1953,Loved it!,3,Neutral
7457,Great product!,4,Positive
9511,Product quality average,2,Negative
1812,Fast delivery,3,Neutral
6905,Product quality average,1,Negative
9266,Excellent service,4,Positive
7887,Poor packaging,1,Negative
5907,Great product!,4,Positive
4648,Poor packaging,2,Negative
1789,Loved it!,3,Neutral
8218,Great product!,5,Positive
9251,Not satisfied,5,Positive
4224,Loved it!,2,Negative
125,Poor packaging,1,Negative
1558,Product quality average,3,Neutral
5735,Terrible experience,3,Neutral
8215,Loved it!,4,Positive
3772,Loved it!,4,Positive
5946,Fast delivery,1,Negative
7461,Loved it!,5,Positive
6292,Poor packaging,2,Negative
7950,Fast delivery,3,Neutral
5128,Great product!,2,Negative
6315,Excellent service,4,Positive
3351,Product quality average,5,Positive
8152,Fast delivery,1,Negative
9876,Product quality average,4,Positive
2330,Fast delivery,5,Positive
4207,Not satisfied,5,Positive
130,Excellent service,5,Positive
2819,Great product!,2,Negative
8820,Loved it!,4,Positive
9236,Terrible experience,5,Positive
1546,Not satisfied,1,Negative
541,Loved it!,2,Negative
4800,Not satisfied,1,Negative
8471,Not satisfied,2,Negative
5824,Poor packaging,5,Positive
4632,Fast delivery,2,Negative
6830,Not satisfied,3,Neutral
595,Excellent service,2,Negative
7097,Fast delivery,4,Positive
325,Loved it!,5,Positive
5172,Great product!,3,Neutral
8206,Poor packaging,5,Positive
196,Loved it!,1,Negative
9028,Terrible experience,5,Positive
1280,Product quality average,2,Negative
7875,Terrible experience,4,Positive
1859,Product quality average,1,Negative
8127,Product quality average,2,Negative
2215,Excellent service,5,Positive
4734,Poor packaging,2,Negative
7092,Not satisfied,3,Neutral
9753,Product quality average,2,Negative
6829,Fast delivery,2,Negative
4231,Fast delivery,1,Negative
8552,Great product!,3,Neutral
537,Poor packaging,2,Negative
3996,Product quality average,2,Negative
8944,Not satisfied,3,Neutral
2053,Loved it!,3,Neutral
7526,Product quality average,4,Positive
4411,Loved it!,2,Negative
6701,Poor packaging,3,Neutral
2117,Product quality average,4,Positive
2466,Not satisfied,5,Positive
8914,Product quality average,2,Negative
3836,Terrible experience,3,Neutral
6638,Product quality average,4,Positive
998,Excellent service,2,Negative
5117,Excellent service,2,Negative
9213,Loved it!,4,Positive
7228,Great product!,3,Neutral
852,Poor packaging,4,Positive
6321,Poor packaging,2,Negative
5999,Poor packaging,2,Negative
4893,Loved it!,2,Negative
1592,Poor packaging,3,Neutral
3921,Fast delivery,4,Positive
6980,Poor packaging,5,Positive
27,Loved it!,2,Negative
5143,Terrible experience,2,Negative
2794,Product quality average,5,Positive
1790,Great product!,3,Neutral
4137,Poor packaging,5,Positive
3697,Poor packaging,4,Positive
6039,Great product!,3,Neutral
5042,Loved it!,4,Positive
9074,Poor packaging,2,Negative
2432,Excellent service,5,Positive
1152,Product quality average,1,Negative
5935,Loved it!,2,Negative
1818,Product quality average,2,Negative
8113,Fast delivery,4,Positive
5648,Not satisfied,2,Negative
6067,Terrible experience,3,Neutral
4491,Great product!,1,Negative
3861,Poor packaging,4,Positive
4319,Excellent service,5,Positive
8415,Product quality average,4,Positive
4588,Poor packaging,1,Negative
6966,Excellent service,2,Negative
8387,Not satisfied,1,Negative
8361,Great product!,1,Negative
7273,Terrible experience,5,Positive
9549,Terrible experience,1,Negative
8260,Excellent service,2,Negative
1503,Not satisfied,1,Negative
3913,Product quality average,2,Negative
4154,Not satisfied,1,Negative
8969,Fast delivery,2,Negative
5901,Not satisfied,2,Negative
5209,Product quality average,3,Neutral
8407,Fast delivery,2,Negative
1389,Excellent service,4,Positive
2354,Great product!,2,Negative
9431,Poor packaging,2,Negative
514,Not satisfied,3,Neutral
4247,Great product!,2,Negative
2369,Great product!,3,Neutral
3710,Terrible experience,3,Neutral
5484,Terrible experience,4,Positive
4931,Great product!,2,Negative
8805,Fast delivery,5,Positive
6107,Fast delivery,4,Positive
6036,Not satisfied,4,Positive
1166,Fast delivery,2,Negative
1201,Excellent service,2,Negative
1862,Excellent service,1,Negative
9783,Excellent service,2,Negative
817,Fast delivery,4,Positive
1915,Fast delivery,2,Negative
7073,Terrible experience,5,Positive
7531,Poor packaging,2,Negative
5133,Poor packaging,1,Negative
6280,Terrible experience,4,Positive
2811,Product quality average,4,Positive
3979,Terrible experience,4,Positive
9153,Excellent service,5,Positive
9353,Excellent service,3,Neutral
8281,Product quality average,4,Positive
322,Not satisfied,2,Negative
6983,Terrible experience,3,Neutral
1018,Excellent service,2,Negative
5493,Terrible experience,3,Neutral
7956,Terrible experience,5,Positive
987,Terrible experience,1,Negative
9234,Fast delivery,5,Positive
3417,Poor packaging,1,Negative
9468,Great product!,3,Neutral
710,Product quality average,5,Positive
630,Terrible experience,3,Neutral
7906,Product quality average,2,Negative
578,Product quality average,5,Positive
1418,Terrible experience,1,Negative
9408,Fast delivery,3,Neutral
7880,Loved it!,5,Positive
6753,Great product!,5,Positive
6915,Excellent service,5,Positive
7784,Loved it!,5,Positive
8391,Excellent service,1,Negative
1285,Great product!,2,Negative
3382,Not satisfied,5,Positive
4821,Fast delivery,4,Positive
7963,Terrible experience,5,Positive
583,Product quality average,4,Positive
2843,Poor packaging,2,Negative
9342,Not satisfied,1,Negative
7444,Loved it!,3,Neutral
9663,Poor packaging,3,Neutral
9788,Loved it!,3,Neutral
8710,Excellent service,3,Neutral
9091,Poor packaging,3,Neutral
1108,Terrible experience,2,Negative
1294,Excellent service,1,Negative
2181,Poor packaging,4,Positive
2003,Fast delivery,3,Neutral
8198,Terrible experience,3,Neutral
2279,Excellent service,2,Negative
7669,Excellent service,2,Negative
7954,Poor packaging,3,Neutral
9661,Great product!,4,Positive
3339,Product quality average,5,Positive
6204,Poor packaging,4,Positive
1397,Fast delivery,4,Positive
9833,Product quality average,2,Negative
8915,Excellent service,5,Positive
6840,Fast delivery,4,Positive
7567,Excellent service,5,Positive
3452,Fast delivery,5,Positive
8279,Excellent service,4,Positive
6176,Great product!,5,Positive
6088,Excellent service,3,Neutral
5636,Loved it!,4,Positive
4708,Poor packaging,4,Positive
1944,Product quality average,3,Neutral
8181,Not satisfied,1,Negative
5951,Fast delivery,1,Negative
2180,Loved it!,1,Negative
6328,Fast delivery,3,Neutral
871,Excellent service,2,Negative
212,Product quality average,4,Positive
3693,Loved it!,5,Positive
630,Excellent service,5,Positive
5935,Loved it!,4,Positive
7844,Poor packaging,4,Positive
369,Terrible experience,3,Neutral
5510,Fast delivery,4,Positive
2510,Excellent service,1,Negative
4294,Excellent service,1,Negative
865,Poor packaging,2,Negative
7297,Loved it!,3,Neutral
6817,Great product!,1,Negative
8431,Poor packaging,1,Negative
1269,Great product!,2,Negative
1834,Poor packaging,5,Positive
4055,Fast delivery,2,Negative
138,Great product!,5,Positive
4257,Fast delivery,2,Negative
8311,Terrible experience,3,Neutral
6782,Not satisfied,4,Positive
3750,Not satisfied,2,Negative
3833,Terrible experience,3,Neutral
699,Loved it!,3,Neutral
29,Not satisfied,4,Positive
9236,Poor packaging,1,Negative
5965,Product quality average,4,Positive
9587,Not satisfied,1,Negative
589,Poor packaging,2,Negative
6044,Not satisfied,1,Negative
1490,Poor packaging,2,Negative
9097,Poor packaging,2,Negative
3569,Not satisfied,1,Negative
1074,Great product!,5,Positive
7646,Loved it!,2,Negative
6018,Excellent service,3,Neutral
808,Excellent service,4,Positive
4473,Fast delivery,5,Positive
4407,Poor packaging,4,Positive
1618,Fast delivery,3,Neutral
5820,Product quality average,3,Neutral
1622,Fast delivery,4,Positive
1679,Excellent service,1,Negative
952,Not satisfied,2,Negative
9510,Product quality average,3,Neutral
1306,Poor packaging,1,Negative
598,Loved it!,2,Negative
4619,Poor packaging,5,Positive
3918,Great product!,2,Negative
2694,Great product!,4,Positive
4624,Great product!,4,Positive
9871,Not satisfied,1,Negative
5976,Terrible experience,5,Positive
7382,Loved it!,1,Negative
2719,Poor packaging,2,Negative
1837,Loved it!,4,Positive
7648,Great product!,5,Positive
1219,Poor packaging,4,Positive
3914,Great product!,1,Negative
9859,Not satisfied,2,Negative
1582,Fast delivery,1,Negative
1719,Poor packaging,1,Negative
8979,Terrible experience,5,Positive
8358,Excellent service,5,Positive
78,Terrible experience,5,Positive
8770,Fast delivery,2,Negative
